dates,royalties,spotify_m_listeners,spotify_followers,youtube_subscribers,youtube_views,instagram_likes
4/13/2018,742.78,1510151,28235,17500,17424694,0
4/14/2018,658.696,1510151,28436,17500,17424694,0
4/15/2018,608.564,1510151,28618,17500,17424694,0
4/16/2018,686.928,1510151,28792,17500,17424694,0
4/17/2018,727.06,1510151,29021,17500,17424694,0
4/18/2018,743.196,1510151,29235,17500,17424694,0
4/19/2018,722.424,1510151,29431,17500,17424694,0
4/20/2018,739.056,1510151,29628,17500,17424694,0
4/21/2018,682.28,1510151,29825,17500,17424694,0
4/22/2018,655.58,1510151,30031,17500,17424694,0
4/23/2018,705.144,1510151,30227,17500,17424694,0
4/24/2018,715.024,1510151,30408,17500,17424694,0
4/25/2018,721.812,1510151,30624,17500,17424694,0
4/26/2018,738.436,1510151,30867,17500,17424694,0
4/27/2018,738.292,1510151,31087,17500,17424694,0
4/28/2018,676.028,1510151,31269,17500,17424694,0
4/29/2018,621.424,1510151,31448,17500,17424694,0
4/30/2018,682.424,1510151,31622,17500,17424694,0
5/1/2018,659.096,1510151,31803,17500,17424694,0
5/2/2018,682.028,1510151,31983,17500,17424694,0
5/3/2018,701.74,1510151,32181,17500,17424694,0
5/4/2018,729.312,1510151,32366,17500,17424694,0
5/5/2018,663.876,1510151,32529,17500,17424694,0
5/6/2018,615.716,1510151,32701,17500,17424694,0
5/7/2018,690.804,1510151,32911,17500,17424694,0
5/8/2018,754.996,1510151,33138,17500,17424694,0
5/9/2018,822.784,1510151,33381,17500,17424694,0
5/10/2018,823.764,1510151,33591,17500,17424694,0
5/11/2018,855.964,1510151,33816,17500,17424694,0
5/12/2018,763.344,1510151,34010,17500,17424694,0
5/13/2018,711.188,1510151,34196,17500,17424694,0
5/14/2018,762.78,1510151,34401,17500,17424694,0
5/15/2018,779.032,1510151,34617,17500,17424694,0
5/16/2018,780.316,1510151,34836,17500,17424694,0
5/17/2018,780.528,1510151,35013,17500,17424694,0
5/18/2018,792.472,1510151,35195,17500,17424694,0
5/19/2018,695.468,1510151,35366,17500,17424694,0
5/20/2018,659.108,1510151,35537,17500,17424694,0
5/21/2018,720.044,1510151,35732,17500,17424694,0
5/22/2018,743.948,1510151,35933,17500,17424694,0
5/23/2018,771.228,1510151,36140,17500,17424694,0
5/24/2018,788.548,1510151,36345,17500,17424694,0
5/25/2018,803.232,1510151,36538,17500,17424694,0
5/26/2018,747.004,1510151,36733,17500,17424694,0
5/27/2018,677.44,1510151,36886,17500,17424694,0
5/28/2018,716.82,1510151,37063,17500,17424694,0
5/29/2018,734.7,1510151,37237,17500,17424694,0
5/30/2018,776.508,1510151,37437,17500,17424694,0
5/31/2018,796.552,1510151,37624,17500,17424694,0
6/1/2018,804.28,1510151,37795,17500,17424694,0
6/2/2018,748.308,1510151,37958,17500,17424694,0
6/3/2018,702.184,1510151,38111,17500,17424694,0
6/4/2018,752.804,1510151,38313,17500,17424694,0
6/5/2018,769.576,1510151,38520,17500,17424694,0
6/6/2018,793.328,1510151,38904,17500,17424694,0
6/7/2018,811.872,1510151,39386,17500,17424694,0
6/8/2018,821.764,1510151,39923,17500,17424694,0
6/9/2018,766.372,1510151,40428,17500,17424694,0
6/10/2018,741.12,1510151,40880,17500,17424694,0
6/11/2018,799.328,1510151,41322,17500,17424694,0
6/12/2018,828.656,1510151,41808,17500,17424694,0
6/13/2018,872.38,1510151,42302,17500,17424694,0
6/14/2018,893.432,1510151,42754,17500,17424694,0
6/15/2018,879.108,1510151,43250,17500,17424694,0
6/16/2018,847.612,1510151,43805,17500,17424694,0
6/17/2018,804.52,1510151,44260,17500,17424694,0
6/18/2018,856.392,1510151,44814,17500,17424694,0
6/19/2018,833.036,1510151,45637,17500,17424694,0
6/20/2018,889.032,1510151,46471,17500,17424694,0
6/21/2018,934.884,1510151,47170,17500,17424694,0
6/22/2018,946.516,1510151,47894,17500,17424694,0
6/23/2018,904.88,1510151,48539,17500,17424694,0
6/24/2018,856.844,1510151,49152,17500,17424694,0
6/25/2018,930.6,1510151,49793,17500,17424694,0
6/26/2018,928.276,1510151,50391,17500,17424694,0
6/27/2018,932.588,1510151,51034,17500,17424694,0
6/28/2018,945.924,1510151,51684,17500,17424694,0
6/29/2018,986.696,1510151,52582,17500,17424694,0
6/30/2018,946.184,1510151,53316,17500,17424694,0
7/1/2018,913.612,1510151,53963,17500,17424694,0
7/2/2018,983.108,1510151,54659,17500,17424694,0
7/3/2018,972.696,1510151,55262,17500,17424694,0
7/4/2018,985.18,1510151,55905,17500,17424694,0
7/5/2018,1002.516,1510151,56516,17500,17424694,0
7/6/2018,1045.436,1510151,57254,17500,17424694,0
7/7/2018,1025,1510151,57913,17500,17424694,0
7/8/2018,991.7,1510151,58573,17500,17424694,0
7/9/2018,1035.212,1510151,59259,17500,17424694,0
7/10/2018,1049.58,1510151,59922,17500,17424694,0
7/11/2018,1043.144,1510151,60588,17500,17424694,0
7/12/2018,1040.232,1510151,61169,17500,17424694,0
7/13/2018,1038.884,1510151,61823,17500,17424694,0
7/14/2018,1015.428,1510151,62371,17500,17424694,0
7/15/2018,982.588,1510151,62963,17500,17424694,0
7/16/2018,1027.932,1510151,63630,17500,17424694,0
7/17/2018,1017.56,1510151,64208,17500,17424694,0
7/18/2018,1014.932,1510151,64800,17500,17424694,0
7/19/2018,1035.236,1510151,65393,17500,17424694,0
7/20/2018,1052.488,1510151,66001,17500,17424694,0
7/21/2018,1006.2,1510151,66627,17500,17424694,0
7/22/2018,984.764,1510151,67202,17500,17424694,0
7/23/2018,1041.208,1510151,67826,17500,17424694,0
7/24/2018,1044.7,1510151,68464,17500,17424694,0
7/25/2018,1022.26,1510151,69127,17500,17424694,0
7/26/2018,1023.088,1510151,69720,17500,17424694,0
7/27/2018,1028.54,1510151,70350,17500,17424694,0
7/28/2018,1002.636,1510151,70981,17500,17424694,0
7/29/2018,988.16,1510151,71568,17500,17424694,0
7/30/2018,1046.284,1510151,72184,17500,17424694,0
7/31/2018,1047.504,1510151,72832,17500,17424694,0
8/1/2018,1038.28,1510151,73460,17500,17424694,0
8/2/2018,1036.88,1510151,74093,17500,17424694,0
8/3/2018,1018.324,1510151,74912,17500,17424694,0
8/4/2018,978.392,1510151,75567,17500,17424694,0
8/5/2018,963.492,1510151,76223,17500,17424694,0
8/6/2018,1023.08,1510151,76842,17500,17424694,0
8/7/2018,1026.732,1510151,77449,17500,17424694,0
8/8/2018,1026.196,1510151,78106,17500,17424694,0
8/9/2018,1048.424,1510151,78759,17500,17424694,0
8/10/2018,1053.364,1510151,79519,17500,17424694,0
8/11/2018,1024.572,1510151,80268,17500,17424694,0
8/12/2018,993.108,1510151,80932,17500,17424694,0
8/13/2018,1026.692,1510151,81681,17500,17424694,0
8/14/2018,1046.104,1510151,82391,17500,17424694,0
8/15/2018,1048.212,1510151,83116,17500,17424694,0
8/16/2018,1070.892,1510151,83853,17500,17424694,0
8/17/2018,1102.62,1510151,84620,17500,17424694,0
8/18/2018,1067.692,1510151,85450,17500,17424694,0
8/19/2018,1030.312,1510151,86194,17500,17424694,0
8/20/2018,1068.208,1510151,86929,17500,17424694,0
8/21/2018,1110.548,1510151,87680,17500,17424694,0
8/22/2018,1133.924,1510151,88264,17500,17424694,0
8/23/2018,1131.972,1510151,88808,17500,17424694,0
