dates,royalties,spotify_m_listeners,spotify_followers,youtube_subscribers,youtube_views,instagram_followers,twitter_followers
5/10/2018,2.228,49498,277,0,0,0,3721
5/11/2018,2.664,45986,279,0,0,0,3875
5/12/2018,2.408,42475,281,0,0,0,2045
5/13/2018,2.052,38963,283,0,0,0,1995
5/14/2018,9.972,33030,284,0,0,0,2869
5/15/2018,11.596,27098,285,0,0,0,2562
5/16/2018,9.976,21165,286,0,0,0,2356
5/17/2018,6.232,15233,287,0,0,0,2301
5/18/2018,8.26,9300,288,20,2015,9174,2299
5/19/2018,9.528,9238,290,22,2055,9141,2230
5/20/2018,14.016,9175,291,22,2075,9118,3123
5/21/2018,8.312,9426,872,22,2095,9101,4747
5/22/2018,3.348,9676,1453,293,2107,9080,4551
5/23/2018,2.516,9927,2034,564,2119,9066,4238
5/24/2018,2.372,10130,2274,552,2124,9047,4160
5/25/2018,2.404,10146,2368,539,2129,9028,3251
5/26/2018,2.908,10161,2461,537,2139,9028,2700
5/27/2018,2.08,10142,2524,534,2148,9021,1930
5/28/2018,2.076,10123,2586,784,2159,9014,1633
5/29/2018,1.796,10031,2586,1242,2173,9001,1626
5/30/2018,1.924,9939,2586,1192,2185,8997,1626
5/31/2018,1.912,9846,2587,1142,2197,8992,1625
6/1/2018,2.268,9752,2587,1151,2208,9008,1625
6/2/2018,2.112,9641,2587,1148,2227,9071,1624
6/3/2018,1.716,9522,3480,1145,2245,9075,1624
6/4/2018,3.372,9402,4373,1144,2253,9069,1625
6/5/2018,2.416,9437,5856,1143,2261,9071,1625
6/6/2018,2.504,9473,7340,1135,2272,9070,1600
6/7/2018,2.676,9508,8823,1127,2282,9072,1601
6/8/2018,2.02,9498,8820,1126,2294,9070,1909
6/9/2018,2.224,9472,8821,1125,2305,9074,1910
6/10/2018,1.728,9446,8822,1125,2314,9073,1909
6/11/2018,2.272,9393,8822,1125,2323,9076,1911
6/12/2018,2.148,9339,8821,1125,2332,9065,1910
6/13/2018,3.076,8836,8821,1124,2340,9061,1595
