"artist_id","date","royalties","nro_menciones_tw","evento","track_release","followers_total"
48,"2015-10-01","0.02791","2095","0","1","136"
48,"2015-11-01","0.1086","878","0","0","154"
48,"2015-12-01","0.04936","717","0","0","157"
48,"2016-01-01","0.0017","1149","0","0","157"
48,"2016-02-01","0.00588","1240","0","1","157"
48,"2016-03-01","0.670959","1007","0","0","157"
48,"2016-04-01","0.108486","686","1","0","158"
48,"2016-05-01","268.86493","935","0","1","158"
48,"2016-06-01","718.9151","1306","0","1","159"
48,"2016-07-01","667.42914","1808","0","0","159"
48,"2016-08-01","624.0012","956","0","1","161"
48,"2016-09-01","554.65625","858","0","1","162"
48,"2016-10-01","17880.67","1333","0","1","75861"
48,"2016-11-01","42557.227","936","0","1","83106"
48,"2016-12-01","48107.164","226","0","0","91351"
48,"2017-01-01","45979.05","422","0","0","99864"
48,"2017-02-01","40614.074","600","0","1","108367"
48,"2017-03-01","38630.17","407","0","0","117261"
48,"2017-04-01","41222.695","948","0","1","128011"
48,"2017-05-01","38649.145","745","0","0","138496"
48,"2017-06-01","39865.715","1110","0","1","148837"
48,"2017-07-01","45939.17","1376","0","1","162866"
48,"2017-08-01","42943.688","2026","0","1","181857"
48,"2017-09-01","40364.195","882","0","0","195302"
48,"2017-10-01","43877.45","985","0","0","208057"
48,"2017-11-01","42029.82","1480","0","0","221030"
48,"2017-12-01","42447.938","770","0","0","234754"
48,"2018-01-01","45655.34","554","0","0","247885"
48,"2018-02-01","42195.582","762","0","0","258126"
48,"2018-03-01","46447.53","1264","0","1","271749"
48,"2018-04-01","47241.86","1281","0","1","284502"
48,"2018-05-01","42101.402","548","0","1","294496"
48,"2018-06-01","37531.66","1234","0","0","306249"
48,"2018-07-01","38905.758","1409","0","0","317260"
48,"2018-08-01","30111.635","1522","0","1","329939"
48,"2018-09-01","23780.174","1058","0","1","343296"
48,"2018-10-01","33735.723","2661","0","1","363682"
48,"2018-11-01","38332.418","858","0","0","377957"
48,"2018-12-01","37611.79","668","0","0","391466"
48,"2019-01-01","38618.16","296","0","1","403883"
48,"2019-02-01","20751.867","478","0","1","415373"
48,"2019-03-01","408.06833","707","0","1","427815"
48,"2019-04-01","1399.4974","275","1","0","437269"
48,"2019-05-01","16800.242","255","0","0","446454"
48,"2019-06-01","29580.342","3272","0","1","458046"
48,"2019-07-01","12785.954","2004","0","1","477869"
48,"2019-08-01","3961.8787","1206","0","0","490438"
48,"2019-09-01","1703.09","798","0","0","501078"
48,"2019-10-01","1917.2253","1341","0","0","512210"
48,"2019-11-01","9502.948","2859","0","1","524097"
48,"2019-12-01","7190.2812","403","0","1","537900"
48,"2020-01-01","3559.0073","563","0","0","550638"
48,"2020-02-01","2886.1182","816","0","0","563022"
48,"2020-03-01","2788.2166","1118","0","0","576011"
48,"2020-04-01","5482.9897","831","0","1","588472"
48,"2020-05-01","3742.5337","427","0","0","594448"
48,"2020-06-01","3316.2356","470","0","1","604579"
48,"2020-07-01","3506.0168","1012","0","1","616006"
48,"2020-08-01","2935.5073","1008","0","1","626864"
48,"2020-09-01","3154.034","510","0","1","637598"
48,"2020-10-01","2116.1882","1148","0","1","649599"
48,"2020-11-01","141.26111","1606","0","1","663274"
48,"2020-12-01","141.26111","229","0","0","674060"
48,"2021-01-01","2570.9546","206","0","1","683752"
48,"2021-02-01","2194.9976","758","0","1","694582"
48,"2021-03-01","2058.4553","189","0","0","703553"
48,"2021-04-01","2088.1086","117","0","0","709289"
48,"2021-05-01","1795.1578","134","0","0","713926"
48,"2021-06-01","1663.0146","32","0","0","717422"
48,"2021-07-01","1969.6896","179","0","1","721281"
48,"2021-08-01","1752.8853","133","0","1","724903"
48,"2021-09-01","1663.688","93","0","0","728048"
48,"2021-10-01","1907.3292","171","0","1","732048"
48,"2021-11-01","994.8758","122","0","0","732162"
64,"2016-05-01","0.113963","11","0","0","342"
64,"2016-06-01","0.081908","30","0","0","349"
64,"2016-07-01","0.097979","103","0","0","360"
64,"2016-08-01","0.109594","41","0","0","368"
64,"2016-09-01","0.07176","14","0","0","375"
64,"2016-10-01","0.048429","25","0","0","383"
64,"2016-11-01","0.018859","94","0","0","396"
64,"2016-12-01","0.018859","37","0","0","402"
64,"2017-01-01","0.018859","31","0","0","408"
64,"2017-02-01","4.429872","49","0","0","410"
64,"2017-03-01","0.422547","29","0","0","417"
64,"2017-04-01","3.428193","35","0","0","423"
64,"2017-05-01","3.322899","24","0","0","427"
64,"2017-06-01","1.097928","46","0","0","431"
64,"2017-07-01","5.750531","27","0","0","436"
64,"2017-08-01","6.656617","36","0","0","441"
64,"2017-09-01","9.438829","19","0","0","444"
64,"2017-10-01","12.729425","49","0","0","449"
64,"2017-11-01","106.83338","102","0","0","450"
64,"2017-12-01","106.67743","74","0","0","457"
64,"2018-01-01","120.77861","25","0","0","469"
64,"2018-02-01","141.8419","6","0","0","480"
64,"2018-03-01","155.55019","21","0","0","489"
64,"2018-04-01","165.6038","13","0","1","496"
64,"2018-05-01","181.94083","15","0","0","503"
64,"2018-06-01","165.95726","32","0","0","514"
64,"2018-07-01","225.1274","21","0","0","517"
64,"2018-08-01","230.62282","26","0","0","525"
64,"2018-09-01","246.1347","26","0","0","531"
64,"2018-10-01","337.03143","12","0","0","538"
64,"2018-11-01","363.11093","12","0","0","548"
64,"2018-12-01","349.09857","17","0","0","558"
64,"2019-01-01","403.51172","22","0","0","561"
64,"2019-02-01","338.897","14","0","0","564"
64,"2019-03-01","342.8395","45","0","0","571"
64,"2019-04-01","363.70865","94","0","0","587"
64,"2019-05-01","391.1844","47","0","0","600"
