author_id;id;text;edit_history_tweet_ids;created_at;lang
861350356344864769;1710974357365829932;"@RitaOra @TheVoiceAU WE ARE SO BACK!!!

This album is really some fye!!! 
🔥🔥🔥🔥🔥🔥🔥🔥🔥
Check it out! ✨🙏🏾✨ If you rockin wit it, send it to your folks for real.

On all streaming platforms (Refer to Thread) 💯

https://t.co/JRW3H8JNbb";['1710974357365829932'];2023-10-08 11:04:09;en
120717414;1710974354064810432;@RitaOra @TheVoiceAU Congratulations! 🙌❤️;['1710974354064810432'];2023-10-08 11:04:09;en
943976400;1710973907530899729;@RitaOra proud of you queen;['1710973907530899729'];2023-10-08 11:02:22;en
1547286171331575808;1710973865969541376;@RitaOra @TheVoiceAU IT WAS AMAZING!!!! BEST MENTOR EVER!! ❤️👸👑;['1710973865969541376'];2023-10-08 11:02:12;en
943976400;1710973849171341740;@RitaOra @TheVoiceAU slay!;['1710973849171341740'];2023-10-08 11:02:08;en
832610083934703618;1710973819525980461;@RitaOra @TheVoiceAU team rita FOR LIFE;['1710973819525980461'];2023-10-08 11:02:01;en
27725199;1710973728052465918;What an incredible journey with Tarryn for @thevoiceau and WHAT A FINALE!! 😍 I couldn't be more proud of all the contestants we saw this year! ❤️ And huge congrats to all the other judges! 🙌💕 https://t.co/udcQktzUNQ;['1710973728052465918'];2023-10-08 11:01:39;en
2492722891;1710972145579507934;@RitaOra Lost one of your fan, such a fking trash supporting the Israel a fking zionist. You're a trash just like your music;['1710972145579507934'];2023-10-08 10:55:22;en
867107008595587072;1710967745922085146;"@RitaOra ??! 
Learn your history girl!?? https://t.co/rQ8FceMc1q";['1710967745922085146'];2023-10-08 10:37:53;en
925181323110518785;1710941984268189879;@RitaOra vocals need too be appreciated more because her voice is so unique and beautiful, I love her voice, she can SING. That duet with Tarryn was amazing, their vocals together is just amazing. Loved that duet 😍🔥 #TheVoiceAU;['1710941984268189879'];2023-10-08 08:55:31;en
1466007651729477637;1710697877700329722;@RitaOra you’re merch at primark is a m a z i n g i got so much stuff im basically broke rn;['1710697877700329722'];2023-10-07 16:45:31;en
1581695735552266241;1710632140428247066;"@RitaOra Up until now I'd never been able to shop in Primark as they didn't fit me. I've lost a lot of weight this year so took a trip to the store this morning and came across your range. Love your designs and purchased a few items! Thank you Rita &amp; thank you Primark!";['1710632140428247066'];2023-10-07 12:24:18;en
1642067745062748160;1710506919192908098;@RitaOra you are a real phenomenon, ❤️❤️❤️;['1710506919192908098'];2023-10-07 04:06:43;en
1596372230103269377;1710338339105346003;@RitaOra Woo Hoo Woo Hoo Woo Hoo Woo Hoo 👏 awesome My Favorite Song 🎵 God's Bless you Ma'am 🙏 Once again Break The Record's;['1710338339105346003'];2023-10-06 16:56:51;en
120717414;1710315220403380235;@RitaOra I will support you always and forever 🫡🤍;['1710315220403380235'];2023-10-06 15:24:59;en
830009041443229697;1710247221961118018;@RitaOra Don’t think twice deserved to extend your record;['1710247221961118018'];2023-10-06 10:54:47;en
1213131393745604608;1710221661146956057;@RitaOra @RitaOraEU Queen;['1710221661146956057'];2023-10-06 09:13:13;en
708560852740399104;1710167859685474484;@RitaOra I ❤️ U I wish I could meet you;['1710167859685474484'];2023-10-06 05:39:25;en
1664310864827260928;1710146794200641842;@RitaOra I absolutely love your Rimmel cosmetics and often wear them and when I do it’s with pride and happiness. The nail polishes have such amazing funny and very cute names . U did a fantastic job creating them !;['1710146794200641842'];2023-10-06 04:15:43;en
